year,spatial_unit,age,nat,sex,n_jan,births,hist_imm_nat_n,hist_imm_int_n,hist_imm_sub_n,hist_emi_sub_n
2022,1,5,int,f,208,0,1,10,7,9
2022,1,6,int,f,212,0,4,12,8,9
2022,1,7,int,f,217,0,0,11,3,6
2022,1,8,int,f,233,0,0,8,1,8
2022,1,9,int,f,215,0,2,9,5,1
2022,1,10,int,f,201,0,4,4,5,7
2022,1,11,int,f,176,0,2,9,4,3
2022,1,12,int,f,218,0,2,10,5,10
2022,1,13,int,f,198,0,2,7,5,5
2022,1,14,int,f,179,0,1,10,4,7
2022,1,15,int,f,171,0,1,7,2,1
2022,1,16,int,f,173,0,3,9,7,5
2022,1,17,int,f,151,0,1,7,3,3
2022,1,18,int,f,149,0,6,6,7,8
2022,1,19,int,f,150,0,2,17,12,13
2022,1,20,int,f,142,0,3,11,15,13
2022,1,21,int,f,138,0,10,19,7,13
2022,1,22,int,f,152,0,7,18,20,22
2022,1,23,int,f,153,0,13,27,27,13
2022,1,24,int,f,180,0,19,42,25,14
2022,1,25,int,f,217,0,17,39,20,17
2022,1,26,int,f,220,0,20,27,33,41
2022,1,27,int,f,265,0,28,44,30,31
2022,1,28,int,f,300,0,26,33,37,29
2022,1,29,int,f,336,0,24,52,24,31
2022,1,30,int,f,371,0,28,39,36,36
2022,1,31,int,f,388,0,33,30,27,30
2022,1,32,int,f,394,0,23,31,22,22
2022,1,33,int,f,368,0,19,36,32,15
2022,1,34,int,f,431,0,10,26,23,32
2022,1,35,int,f,392,0,17,28,14,19
2022,1,36,int,f,412,0,15,24,16,19
2022,1,37,int,f,437,0,10,21,18,22
2022,1,38,int,f,445,0,14,20,23,29
2022,1,39,int,f,408,0,12,13,11,18
2022,1,40,int,f,408,0,12,17,10,13
2022,1,41,int,f,407,0,11,19,12,25
2022,1,42,int,f,388,0,6,22,18,17
2022,1,43,int,f,370,0,6,20,9,13
2022,1,44,int,f,388,0,3,13,10,16
2022,1,45,int,f,352,0,4,12,12,12
2022,1,46,int,f,354,0,7,10,7,3
2022,1,47,int,f,332,0,5,6,11,12
2022,1,48,int,f,326,0,2,7,5,13
2022,1,49,int,f,301,0,5,12,7,5
2022,1,50,int,f,308,0,7,13,7,8
2022,1,51,int,f,245,0,5,13,13,11
2022,1,52,int,f,282,0,5,9,10,5
2022,1,53,int,f,285,0,7,9,9,8
2022,1,54,int,f,251,0,3,9,14,10
2022,1,55,int,f,252,0,4,9,6,4
2022,1,56,int,f,258,0,7,8,7,5
2022,1,57,int,f,234,0,6,9,4,10
2022,1,58,int,f,226,0,3,6,5,2
2022,1,59,int,f,212,0,2,2,5,8
2022,1,60,int,f,197,0,2,6,2,5
2022,1,61,int,f,183,0,1,3,6,4
2022,1,62,int,f,196,0,1,3,4,2
2022,1,63,int,f,171,0,1,0,7,7
2022,1,64,int,f,147,0,5,3,2,0
2022,1,65,int,f,138,0,0,1,3,2
2022,1,66,int,f,124,0,3,0,1,3
2022,1,67,int,f,112,0,2,1,1,2
2022,1,68,int,f,114,0,0,1,2,0
2022,1,69,int,f,114,0,0,0,0,2
2022,1,70,int,f,101,0,0,0,3,1
2022,1,71,int,f,90,0,1,3,1,0
2022,1,72,int,f,95,0,2,2,0,2
2022,1,73,int,f,78,0,1,1,0,1
2022,1,74,int,f,90,0,0,0,3,0
2022,1,75,int,f,83,0,0,3,0,1
2022,1,76,int,f,66,0,0,0,1,1
2022,1,77,int,f,53,0,1,0,1,0
2022,1,78,int,f,58,0,0,1,0,0
2022,1,79,int,f,57,0,1,0,0,1
2022,1,80,int,f,55,0,0,0,0,0
2022,1,81,int,f,57,0,0,0,0,0
2022,1,82,int,f,71,0,1,0,0,1
2022,1,83,int,f,55,0,0,0,3,2
2022,1,84,int,f,61,0,0,1,1,0
2022,1,85,int,f,53,0,1,0,1,1
2022,1,86,int,f,31,0,1,0,0,0
2022,1,87,int,f,38,0,0,0,2,1
2022,1,88,int,f,22,0,1,0,0,0
2022,1,89,int,f,22,0,0,0,0,0
2022,1,90,int,f,16,0,0,1,0,0
2022,1,91,int,f,12,0,0,0,0,0
2022,1,92,int,f,9,0,0,0,0,0
2022,1,93,int,f,11,0,0,0,1,0
2022,1,94,int,f,9,0,0,0,1,0
2022,1,95,int,f,7,0,0,0,0,0
2022,1,96,int,f,4,0,0,0,0,0
2022,1,97,int,f,2,0,0,0,0,0
2022,1,98,int,f,2,0,0,0,0,0
2022,1,99,int,f,0,0,0,0,0,0
2022,1,100,int,f,1,0,0,0,0,0
2023,1,0,ch,m,0,473,7,0,8,28
2023,1,1,ch,m,461,0,14,2,30,44
2023,1,2,ch,m,540,0,20,0,33,35
2023,1,3,ch,m,518,0,9,0,26,31
2023,1,4,ch,m,488,0,8,1,17,25
2023,1,5,ch,m,477,0,5,3,14,22
2023,1,6,ch,m,466,0,7,0,10,14
2023,1,7,ch,m,463,0,4,1,7,10
2023,1,8,ch,m,471,0,9,2,8,10
2023,1,9,ch,m,477,0,4,3,7,9
2023,1,10,ch,m,465,0,1,0,3,5
2023,1,11,ch,m,451,0,1,1,7,4
2023,1,12,ch,m,489,0,5,1,9,7
2023,1,13,ch,m,479,0,4,0,6,8
2023,1,14,ch,m,490,0,2,0,7,6
2023,1,15,ch,m,467,0,3,0,5,9
2023,1,16,ch,m,463,0,3,0,3,6
2023,1,17,ch,m,472,0,2,1,5,8
2023,1,18,ch,m,463,0,2,1,11,11
2023,1,19,ch,m,466,0,7,4,6,7
2023,1,20,ch,m,475,0,9,0,25,18
2023,1,21,ch,m,437,0,9,1,36,24
2023,1,22,ch,m,498,0,13,4,44,29
2023,1,23,ch,m,519,0,22,4,67,34
2023,1,24,ch,m,552,0,32,1,77,44
2023,1,25,ch,m,642,0,33,3,87,61
2023,1,26,ch,m,604,0,51,6,91,56
2023,1,27,ch,m,746,0,46,4,104,66
2023,1,28,ch,m,706,0,44,2,80,65
2023,1,29,ch,m,698,0,37,2,73,61
2023,1,30,ch,m,837,0,53,6,74,83
2023,1,31,ch,m,837,0,39,7,74,80
2023,1,32,ch,m,789,0,44,5,66,75
2023,1,33,ch,m,797,0,31,1,53,67
2023,1,34,ch,m,758,0,37,2,56,74
2023,1,35,ch,m,756,0,27,1,43,59
2023,1,36,ch,m,685,0,25,4,39,49
2023,1,37,ch,m,758,0,23,2,18,32
2023,1,38,ch,m,669,0,18,3,22,40
2023,1,39,ch,m,739,0,16,1,30,54
2023,1,40,ch,m,682,0,19,3,16,33
2023,1,41,ch,m,659,0,14,2,13,30
2023,1,42,ch,m,643,0,15,0,20,28
2023,1,43,ch,m,592,0,15,1,10,18
2023,1,44,ch,m,639,0,7,1,20,23
2023,1,45,ch,m,558,0,9,6,16,11
2023,1,46,ch,m,562,0,10,1,15,19
2023,1,47,ch,m,515,0,4,0,14,14
2023,1,48,ch,m,574,0,3,3,12,7
2023,1,49,ch,m,586,0,8,1,7,16
2023,1,50,ch,m,607,0,8,2,8,18
2023,1,51,ch,m,601,0,6,1,10,13
2023,1,52,ch,m,651,0,7,2,13,18
2023,1,53,ch,m,645,0,8,2,11,14
2023,1,54,ch,m,625,0,9,0,14,18
2023,1,55,ch,m,682,0,3,3,23,12
2023,1,56,ch,m,699,0,8,2,7,18
2023,1,57,ch,m,746,0,10,2,15,17
2023,1,58,ch,m,684,0,15,3,13,9
2023,1,59,ch,m,721,0,9,1,11,11
2023,1,60,ch,m,700,0,11,3,14,11
2023,1,61,ch,m,681,0,6,1,11,14
2023,1,62,ch,m,706,0,7,1,4,8
2023,1,63,ch,m,660,0,7,0,7,11
2023,1,64,ch,m,639,0,2,1,11,13
2023,1,65,ch,m,599,0,3,0,12,15
